,0,1,2,3,4,5,6,7,8
0,030,0.959653,0.185247,1.288272,0.195687,2.049626,0.079608,2.938643,0.062782
1,040,0.959653,0.185545,1.288272,0.195284,2.065321,0.079348,2.946101,0.062524
2,050,0.959653,0.186364,1.288272,0.195809,2.081004,0.079102,2.942373,0.06252
3,060,0.959653,0.186841,1.288272,0.195699,2.069243,0.078903,2.942373,0.062454
4,070,0.959653,0.187891,1.288272,0.195497,2.084922,0.07854,2.938643,0.062294
